cultivar,MSE,MAE,R2
masena,5400082.187061158,1959.6069999999995,0.4312189690367526
eureka,17330903.449070446,3742.479380952285,0.1729795685908022
combined,10665199.816287568,2778.44329999999,0.559268995505757
